PageID,Module,PageName,Goal,PrimaryUsers,Inputs,Actions,Validations,Permissions,ReportsExports,ErrorStates,Notes
P-010,MASTER,الإعدادات,ضبط اليوم الموسمي والقوالب والسياسات ومراقبة التكامل,مسؤول النظام,حدود اليوم الموسمي؛ قوالب WhatsApp؛ قواميس العيوب والجزاءات؛ إعدادات التكامل,حفظ؛ تحديث؛ تفعيل/تعطيل,الوقت بصيغة صحيحة؛ القالب غير فارغ؛ أكواد فريدة,مسؤول النظام,سجل تكاملات,قيم غير صالحة,يتضمن إدارة القوالب والعيوب والجزاءات ومراقبة التكامل وصلاحيات RBAC وإعدادات HTTPS
P-020,MASTER,أنواع المراحل,إدارة أنواع المراحل,مسؤول النظام,اسم عربي؛ اسم إنجليزي؛ حالة,إنشاء؛ تعديل؛ تعطيل,الاسم مطلوب,مسؤول النظام,N/A,تكرار الاسم,
P-030,MASTER,المراحل,إدارة المراحل وترتيبها,مسؤول النظام,CODE؛ أسماء؛ نوع؛ ترتيب؛ حالة,إنشاء؛ تعديل؛ تعطيل,CODE فريد؛ ترتيب صالح,مسؤول النظام,N/A,تكرار CODE,
P-040,MASTER,الموظفون والمهارات,إدارة الموظفين والمهارات والمرحلة الافتراضية,مسؤول النظام,رقم وظيفي؛ Badge؛ مرحلة افتراضية؛ مهارات,إنشاء؛ تعديل؛ ربط مهارات,رقم وظيفي فريد؛ Badge فريد,مسؤول النظام,N/A,تكرار الرقم الوظيفي,
P-045,TRAINING,التدريب والمحتوى,إدارة المحتوى والتكرار والإقرارات,مسؤول النظام,محتوى تدريبي؛ تكرار؛ تواريخ استحقاق,إنشاء؛ تعيين؛ إشعار,حقول محتوى مطلوبة,مسؤول النظام,N/A,عدم اكتمال المحتوى,يرتبط ببوابة التدريب
P-050,DISTRIBUTION,التوزيع وWIP,تنفيذ التوزيع الآلي/اليدوي وعرض WIP,أمين المستودع,عناصر للتوزيع؛ أسباب,توزيع؛ تعديل؛ Undo,سبب مطلوب للتوزيع اليدوي,أمين المستودع,تصدير WIP,تجاوز تسلسل المراحل,
P-060,PROD_LOGGING,تسجيل الإنتاج,تسجيل الإنتاج عبر Mobile/Kiosk,عامل تشغيلي,Badge/رقم وظيفي؛ رقم المنتج,بدء؛ إنهاء؛ حفظ,مرحلة مخولة؛ لا تكرار,عامل تشغيلي,N/A,مرحلة غير مخولة,
P-070,QC,فحص الجودة,تسجيل QC والعيوب والفحص المخفي,فاحص جودة نهائي,نوع QC؛ نتيجة؛ عيوب؛ صور,حفظ؛ إنشاء تذكرة,صورة مطلوبة لبعض المعايير,فاحص جودة أولي/نهائي,تصدير تقارير QC,نتيجة غير صالحة,ربط العيوب بالمراحل وتسجيل الصور حسب القواعد
P-075,REPAIR,تذاكر الإصلاح,إدارة تذاكر الإصلاح وجدولتها,فاحص جودة نهائي,موعد إصلاح؛ سبب,إنشاء؛ تحديث؛ إغلاق,موعد مطلوب,فاحص جودة نهائي,N/A,موعد غير صالح,
P-080,PLANNING,لوحة التخطيط والاختناقات,عرض الاختناقات وETA والقدرة,مدير الإنتاج,فلاتر زمنية,عرض؛ تحديث,نطاق زمني صحيح,مدير الإنتاج,تصدير لوحة,لا توجد بيانات,
P-090,PAYROLL,الأسعار,إدارة أسعار المراحل والتكلفة المعيارية,محاسب,مرحلة؛ نوع سعر؛ قيمة,حفظ؛ تعديل,نوع سعر صالح,محاسب,N/A,قيمة غير صالحة,يتضمن إعداد تكلفة معيارية وتحميل عام (V1.2)
P-095,PAYROLL,مهام NPT,تسجيل مهام NPT بالساعة,محاسب,وصف المهمة؛ وقت,حفظ,ساعات > 0,محاسب,N/A,ساعات غير صالحة,
P-100,PAYROLL,الرواتب,تشغيل ومراجعة الرواتب والحوافز,محاسب,فترة الرواتب,تشغيل؛ مراجعة؛ اعتماد,فترة صحيحة,محاسب,تصدير مسير,فترة غير صالحة,عرض الحوافز وفق عتبات ثابتة (V1.2)
P-110,REPORTS,التقارير,عرض وتصدير التقارير الأساسية ولوحات BI,مدير الإنتاج,فلاتر زمنية؛ مؤشرات KPI,عرض؛ تصدير,نطاق زمني صحيح,مدير الإنتاج,CSV/PDF/BI,لا توجد نتائج,قائمة التقارير تُستكمل من المرفقات; لوحات BI داخل APEX (V1.1)
